藍方勝,守衛放置數,守衛破壞數,首殺,擊殺數,死亡數,助攻數,菁英野怪數,小龍擊殺數,預示者擊殺數,推塔數,總經濟,平均等級,總經驗,總小兵擊殺,總野怪擊殺
0,13,-4,1,3,-3,3,0,0,0,0,643,-0.2,-8,-2,-19
0,0,0,-1,0,0,3,-2,-1,-1,-1,-2908,-0.2,-1173,-66,-9
0,0,-3,-1,-4,4,-10,1,1,0,0,-1172,-0.4,-1033,-17,18
0,28,-1,-1,-1,1,-5,1,0,1,0,-1321,0,-7,-34,8
0,58,2,-1,0,0,-1,-1,-1,0,0,-1004,0,230,-15,-10
1,-18,-5,-1,2,-2,4,1,1,0,0,698,0,101,4,-17
1,-39,2,1,1,-1,-2,1,1,0,0,2411,0.4,1563,61,18
0,1,2,-1,-8,8,-8,-1,-1,0,0,-2615,-0.2,-800,52,-6
0,1,1,-1,0,0,3,-2,-1,-1,0,-1979,0,-771,-51,8
1,-3,-1,1,-1,1,1,1,1,0,0,-1548,0,-1574,-27,-4
0,5,1,1,0,0,1,-1,-1,0,0,331,-0.6,-1585,15,-23
0,16,1,1,0,0,-2,1,0,1,0,-1505,0,-635,-31,-12
1,6,0,1,6,-6,10,1,1,0,0,3274,0.6,1659,-2,3
0,-6,0,-1,-5,5,-10,1,0,1,0,-3414,-0.6,-1141,-19,1
1,-87,2,1,0,0,1,0,0,0,0,-470,-0.2,-187,-18,3
0,-1,-2,-1,-4,4,-10,0,0,0,0,-1996,-0.4,-1804,-28,2
1,1,-1,1,8,-8,6,-1,-1,0,0,5228,0.8,3378,53,-8
0,26,-11,-1,-4,4,-3,1,0,1,0,-1975,0,-1345,-15,1
1,2,1,1,1,-1,8,-2,-1,-1,0,882,0.2,512,-15,-3
0,-4,2,-1,-4,4,-4,0,0,0,0,-3155,-0.4,-2773,-31,-8
1,2,1,1,5,-5,11,1,1,0,0,2526,0.2,1625,-11,-3
0,-2,-2,-1,-9,9,-9,-1,-1,0,0,-2835,-0.4,-2821,-6,-2
0,1,-1,-1,-2,2,-7,-1,-1,0,0,-1254,0,-567,7,-4
0,63,1,-1,1,-1,1,2,1,1,0,406,-0.2,1283,18,3
1,15,0,-1,-3,3,-3,0,0,0,0,-1020,0.2,493,11,9
0,-2,-1,-1,-4,4,-9,-1,-1,0,0,-2472,-0.8,-1067,-17,8
1,8,-2,-1,2,-2,6,1,1,0,0,1260,0.2,-55,-24,8
0,5,-1,1,3,-3,7,-1,-1,0,0,1857,0.4,2015,26,12
0,40,2,1,2,-2,2,1,1,0,0,1320,0,-413,-6,13
0,0,2,-1,-5,5,-10,1,1,0,0,-3282,-0.6,-1647,8,0
1,1,3,1,5,-5,8,1,1,0,0,2883,0.8,2111,1,4
1,2,2,1,3,-3,4,2,1,1,0,1703,0.4,1696,12,3
0,-7,1,-1,2,-2,3,-1,-1,0,0,608,0,-85,-3,-12
0,1,1,1,1,-1,0,-1,-1,0,0,71,0,-359,-21,7
1,25,1,-1,2,-2,-1,-1,-1,0,0,275,0.2,872,-19,-6
0,7,1,-1,-1,1,-1,-2,-1,-1,0,-809,0,638,17,2
0,-2,2,-1,-6,6,-3,1,1,0,0,-2771,-0.2,-1125,-17,20
0,-20,-2,1,-1,1,-2,0,-1,1,0,-1730,-0.2,-1236,-11,-19
0,-7,2,-1,-2,2,-4,0,-1,1,0,-904,0.2,1377,7,28
0,-18,-1,-1,-3,3,-3,0,-1,1,0,-1683,-0.4,-1363,-23,4
0,-13,3,-1,-7,7,-13,-1,-1,0,0,-3025,-0.4,-1833,9,9
1,20,-1,-1,4,-4,5,0,0,0,0,3004,0.4,2300,46,5
1,1,1,-1,3,-3,8,1,1,0,0,1574,0,761,10,-18
1,-7,1,1,0,0,-1,0,0,0,0,-1036,-0.4,-1423,12,-28
0,-21,0,1,-1,1,0,0,-1,1,0,16,0.4,433,9,11
0,29,-1,-1,-9,9,-6,-1,0,-1,-1,-6386,-0.8,-4210,-60,-24
1,-1,1,1,9,-9,7,0,0,0,0,5096,1.2,3310,55,-5
1,6,-4,1,4,-4,0,1,1,0,1,2756,0.2,1683,18,-3
1,3,-2,-1,-1,1,1,1,0,1,0,-977,-0.2,-1025,-38,-12
0,-22,-5,-1,0,0,2,0,0,0,0,-808,-0.4,-1655,-35,12
0,-8,-4,-1,-2,2,-8,-1,-1,0,0,-1559,-0.2,-407,3,-3
1,6,-1,-1,-2,2,-1,0,0,0,0,544,0,75,31,5
1,6,1,1,3,-3,1,2,1,1,0,1381,0,1017,5,-7
1,22,1,1,2,-2,0,-1,-1,0,0,2031,0.4,1449,38,-14
0,-6,2,-1,0,0,1,1,1,0,0,131,-0.2,370,19,-8
0,-14,0,-1,-6,6,-7,0,-1,1,0,-2699,-0.4,-2749,23,-1
0,3,0,1,-2,2,1,1,1,0,0,-1672,-0.6,-2698,-37,-13
1,1,-1,1,4,-4,6,1,1,0,0,1201,0.4,316,-21,-2
1,15,-1,1,2,-2,1,2,1,1,0,-108,0.2,59,-25,11
0,-8,-1,-1,3,-3,5,-1,-1,0,1,4633,0.6,2269,54,13
0,0,1,-1,-5,5,-4,-1,-1,0,0,-2262,-0.2,-1391,-27,14
0,7,1,-1,-1,1,-5,-1,-1,0,0,-49,0.2,500,1,25
1,-18,-1,1,2,-2,-1,0,1,-1,0,1687,0,1089,-3,-2
1,108,0,1,8,-8,9,2,1,1,0,3933,0.8,2922,-4,28
0,-4,2,-1,-6,6,-3,1,1,0,0,-4061,-0.8,-4397,-21,-31
0,37,1,-1,-6,6,-4,-1,0,-1,-1,-4920,-0.8,-3280,-52,-20
0,8,-2,-1,-1,1,1,0,0,0,0,-1705,-0.2,-1839,-17,-10
0,8,-1,1,-1,1,3,0,1,-1,0,105,-0.2,-1547,12,4
1,3,-1,-1,-2,2,-3,-1,-1,0,0,-554,0.2,521,-1,13
0,1,1,1,-1,1,-1,-1,-1,0,0,-1037,-0.2,-1577,-43,9
0,3,-3,1,1,-1,-4,0,-1,1,-1,-1144,0,480,3,17
1,24,-1,1,1,-1,3,-1,-1,0,0,1173,0.2,953,14,-31
0,5,-1,1,6,-6,9,-1,-1,0,0,3194,0.4,2534,24,-7
0,1,3,1,-5,5,-6,1,1,0,0,-2622,-0.2,-1136,12,2
1,0,1,1,2,-2,1,0,1,-1,0,1151,0.2,470,37,2
1,2,2,1,2,-2,0,2,1,1,0,1463,0.2,1490,31,0
0,-1,0,-1,-2,2,-4,-2,-1,-1,0,-1038,-0.2,-1307,-5,-14
1,4,-2,1,4,-4,2,1,0,1,0,1424,0.2,1060,32,-21
1,6,-3,-1,4,-4,13,1,1,0,0,527,0.4,721,16,-19
0,-35,1,-1,1,-1,3,-2,-1,-1,0,1807,0.4,932,44,-14
0,27,6,1,7,-7,6,0,-1,1,0,2856,0.2,1262,46,-29
0,-1,0,-1,0,0,7,0,1,-1,0,-964,-0.4,-2454,-37,0
0,-22,-5,-1,-1,1,0,0,-1,1,0,-178,0.2,524,21,4
