藍方勝,首殺,擊殺數,菁英野怪數,小龍擊殺數,預示者擊殺數,推塔數,總經濟,總經驗,總小兵擊殺,總野怪擊殺
0,1,3,0,0,0,0,643,-8,-2,-19
0,-1,0,-3,-1,-1,-1,-2908,-1173,-66,-9
0,-1,-4,1,1,0,0,-1172,-1033,-17,18
0,-1,-1,1,0,1,0,-1321,-7,-34,8
0,-1,0,-1,-1,0,0,-1004,230,-15,-10
1,-1,2,1,1,0,0,698,101,4,-17
1,1,1,1,1,0,0,2411,1563,61,18
0,-1,-8,-1,-1,0,0,-2615,-800,52,-6
0,-1,0,-2,-1,-1,0,-1979,-771,-51,8
1,1,-1,1,1,0,0,-1548,-1574,-27,-4
0,1,0,-1,-1,0,0,331,-1585,15,-23
0,1,0,1,0,1,0,-1505,-635,-31,-12
1,1,6,1,1,0,0,3274,1659,-2,3
0,-1,-5,1,0,1,0,-3414,-1141,-19,1
1,1,0,0,0,0,0,-470,-187,-18,3
0,-1,-4,0,0,0,0,-1996,-1804,-28,2
1,1,8,-1,-1,0,0,5228,3378,53,-8
0,-1,-4,1,0,1,0,-1975,-1345,-15,1
1,1,1,-2,-1,-1,0,882,512,-15,-3
0,-1,-4,0,0,0,0,-3155,-2773,-31,-8
1,1,5,1,1,0,0,2526,1625,-11,-3
0,-1,-9,-1,-1,0,0,-2835,-2821,-6,-2
0,-1,-2,-1,-1,0,0,-1254,-567,7,-4
0,-1,1,2,1,1,0,406,1283,18,3
1,-1,-3,0,0,0,0,-1020,493,11,9
0,-1,-4,-1,-1,0,0,-2472,-1067,-17,8
1,-1,2,1,1,0,0,1260,-55,-24,8
0,1,3,-1,-1,0,0,1857,2015,26,12
0,1,2,1,1,0,0,1320,-413,-6,13
0,-1,-5,1,1,0,0,-3282,-1647,8,0
1,1,5,1,1,0,0,2883,2111,1,4
1,1,3,2,1,1,0,1703,1696,12,3
0,-1,2,-1,-1,0,0,608,-85,-3,-12
0,1,1,-1,-1,0,0,71,-359,-21,7
1,-1,2,-1,-1,0,0,275,872,-19,-6
0,-1,-1,-2,-1,-1,0,-809,638,17,2
0,-1,-6,1,1,0,0,-2771,-1125,-17,20
0,1,-1,0,-1,1,0,-1730,-1236,-11,-19
0,-1,-2,0,-1,1,0,-904,1377,7,28
0,-1,-3,0,-1,1,0,-1683,-1363,-23,4
0,-1,-7,-1,-1,0,0,-3025,-1833,9,9
1,-1,4,0,0,0,0,3004,2300,46,5
1,-1,3,1,1,0,0,1574,761,10,-18
1,1,0,0,0,0,0,-1036,-1423,12,-28
0,1,-1,0,-1,1,0,16,433,9,11
0,-1,-9,-1,0,-1,-1,-6386,-4210,-60,-24
1,1,9,0,0,0,0,5096,3310,55,-5
1,1,4,1,1,0,1,2756,1683,18,-3
1,-1,-1,1,0,1,0,-977,-1025,-38,-12
0,-1,0,0,0,0,0,-808,-1655,-35,12
0,-1,-2,-1,-1,0,0,-1559,-407,3,-3
1,-1,-2,0,0,0,0,544,75,31,5
1,1,3,2,1,1,0,1381,1017,5,-7
1,1,2,-1,-1,0,0,2031,1449,38,-14
0,-1,0,1,1,0,0,131,370,19,-8
0,-1,-6,0,-1,1,0,-2699,-2749,23,-1
0,1,-2,1,1,0,0,-1672,-2698,-37,-13
1,1,4,1,1,0,0,1201,316,-21,-2
1,1,2,2,1,1,0,-108,59,-25,11
0,-1,3,-1,-1,0,1,4633,2269,54,13
0,-1,-5,-1,-1,0,0,-2262,-1391,-27,14
0,-1,-1,-1,-1,0,0,-49,500,1,25
1,1,2,0,1,-1,0,1687,1089,-3,-2
1,1,8,2,1,1,0,3933,2922,-4,28
0,-1,-6,1,1,0,0,-4061,-4397,-21,-31
0,-1,-6,-1,0,-1,-1,-4920,-3280,-52,-20
0,-1,-1,0,0,0,0,-1705,-1839,-17,-10
0,1,-1,0,1,-1,0,105,-1547,12,4
1,-1,-2,-1,-1,0,0,-554,521,-1,13
0,1,-1,-1,-1,0,0,-1037,-1577,-43,9
0,1,1,0,-1,1,-1,-1144,480,3,17
1,1,1,-1,-1,0,0,1173,953,14,-31
0,1,6,-1,-1,0,0,3194,2534,24,-7
